Store Size (sq ft),Number of Employees,Advertising Spend ($),Product Variety,Seasonality Index,Customer Foot Traffic,Price Index,Competitor Pricing,Customer Satisfaction Score,Promotional Frequency,Online Sales (%),Product Return Rate (%),Supply Chain Efficiency Index,Economic Index,Market Share (%),Customer Demographics (Age Group),Store Location Type,Weather Impact Index,Store Opening Hours,Advertising Medium Mix (%),Sales ($)
3062,27,83522,409,3,1598,233,250,6.970282066,2,27,18.88770905,90,95.6999088,17.10983948,45-54,Rural,14.80446182,98,55,35021.22841
1064,65,97007,761,1,11976,119,102,7.548693028,5,10,9.286555239,68,83.21967074,26.14912197,45-54,Urban,13.94714816,84,41,32897.08305
9006,26,34458,627,4,7391,238,222,8.099119067,5,49,18.74752781,72,75.34420331,13.13797828,45-54,Urban,5.573930192,94,48,31422.60213
3568,42,91605,639,2,17450,195,197,6.281891386,1,10,16.92753235,76,91.29075632,12.55942771,35-44,Rural,15.07825447,96,52,36230.94428
6463,115,83409,518,1,15908,223,242,7.863222265,2,10,12.32245958,67,91.79685939,17.80658541,18-24,Urban,19.9323529,86,43,36673.86948
3027,94,24248,543,5,12590,120,136,8.749878846,2,60,13.75651623,68,91.47865264,10.18416705,45-54,Rural,20.15267162,87,46,25862.16832
3695,105,90160,784,2,17279,213,203,6.897390887,4,30,16.35841007,68,57.89229689,21.56602434,45-54,Urban,1.492445557,83,44,36795.85242
6258,41,44516,939,2,3750,112,102,7.879875285,7,34,14.86584352,99,51.27161707,8.212182279,35-44,Rural,4.929082795,92,50,26451.35925
6618,108,30061,335,4,10916,185,177,8.463988351,3,36,17.83656132,89,99.15967049,24.87268391,35-44,Suburban,16.70558401,92,67,28872.34657
7736,41,25170,313,3,7806,134,127,7.535419192,5,19,8.619591552,66,97.98270979,8.898248981,25-34,Rural,21.49579864,75,59,25881.06161
1391,111,9024,184,3,7429,146,133,8.153938602,9,59,15.8141991,76,78.21892304,29.78833371,25-34,Rural,13.03042706,82,48,24267.43292
6892,48,83214,893,2,9123,248,252,6.933031015,5,21,14.00558966,98,99.65318584,10.17741176,18-24,Rural,17.68814171,70,61,37270.89054
4561,32,86947,184,1,19015,245,242,6.918175359,9,37,14.22040988,97,88.52735224,26.48595802,25-34,Urban,0.526800266,99,58,38750.27326
7184,101,44803,164,5,7452,224,221,8.002752065,1,58,14.38764101,64,75.86900917,12.52332267,18-24,Rural,15.2105203,78,51,31534.24581
4099,21,20296,762,5,18158,209,198,8.116226622,9,41,22.62943928,76,69.46655336,8.135590419,25-34,Suburban,24.04772861,93,49,29836.66545
7278,48,92829,726,1,16456,136,122,8.811029099,5,42,21.37254882,99,79.64316047,7.558734263,45-54,Urban,16.52536518,82,67,34101.54415
9392,104,93708,163,2,5019,120,113,6.674515724,8,17,17.59139922,60,75.79010508,25.65554717,25-34,Rural,23.05689292,69,67,31860.97906
4104,98,87664,1466,5,13419,113,107,7.404652788,5,51,19.32973871,75,99.69012634,9.953836603,45-54,Urban,14.15023645,96,65,32325.52688
8215,71,19257,1038,3,1929,190,185,6.751540419,6,35,5.856052721,76,74.5230158,10.81832726,18-24,Urban,21.08446844,60,30,26592.22916
3454,46,13855,1018,1,7264,159,140,6.240276483,8,51,19.87983439,89,91.79605431,6.712798619,25-34,Urban,3.104060206,61,48,25461.23896
9996,69,86178,1475,4,8973,223,232,7.209691584,2,59,14.72329377,90,90.68119116,28.87841683,25-34,Suburban,3.087831572,81,55,36256.45905
3731,114,21025,1281,2,10697,122,131,7.122242242,3,50,11.35495129,94,53.57031368,8.097574277,25-34,Suburban,3.00448323,76,36,25322.38575
9154,98,5458,590,1,12136,210,207,6.81130236,9,11,7.795539319,67,54.35033837,8.17586495,45-54,Suburban,12.2212388,83,63,27641.12194
6056,42,64610,1348,5,2184,223,233,6.890984673,5,44,6.504175807,89,82.99050574,28.37303882,45-54,Urban,8.256589021,80,65,32823.84703
9110,107,71843,412,2,17911,129,121,7.081235419,5,43,5.89771371,98,62.95540034,27.12606679,25-34,Suburban,17.97964634,99,35,31986.27151
4840,63,84961,714,3,1916,214,213,8.966512898,9,15,8.235923498,80,82.87635173,8.218415612,18-24,Rural,22.56554786,88,66,34200.34732
2028,96,50831,1018,2,4574,189,203,8.348873298,10,40,5.602875896,74,57.23129472,26.07704152,45-54,Urban,15.48437071,73,51,29734.80451
8385,41,44427,912,2,4319,137,139,6.214203603,3,32,19.65284485,93,69.85341136,8.244873179,35-44,Suburban,5.330263902,67,38,27439.48934
1502,62,94809,1039,3,18790,182,194,8.617239529,4,21,9.97228238,86,55.12351332,3.449460781,18-24,Urban,23.27192169,89,58,35972.33938
7910,56,39506,1211,3,18625,126,143,7.899909979,7,60,12.37480854,61,64.10465384,24.7904791,18-24,Urban,13.19643345,81,46,28643.00769
7938,80,6668,1426,2,6206,203,217,8.67178128,2,37,21.45432428,69,54.41492951,23.37518658,18-24,Suburban,17.99863883,82,42,26520.94933
5488,116,92470,779,3,18182,215,230,7.025129061,8,24,7.29314993,64,98.52893276,9.545346529,45-54,Urban,22.26264626,99,46,37490.74404
1206,75,48195,534,1,18907,114,113,7.393556594,5,28,21.7118806,86,69.75292173,3.614030569,25-34,Suburban,24.7457983,72,39,28922.64363
6134,22,74233,781,3,5928,102,84,8.688681172,1,21,17.79080701,63,95.05943839,6.98672765,25-34,Suburban,12.65159873,87,54,29528.3156
6977,82,25417,1258,3,17105,109,96,6.817719408,3,59,11.84059029,72,98.55858845,23.36064056,35-44,Urban,20.20156797,89,47,26654.79938
8721,38,82982,1173,2,3888,219,238,8.746502629,9,57,7.356144261,76,95.47813301,28.97768663,25-34,Urban,14.17167663,64,44,34814.85197
8035,42,11751,439,1,3690,244,255,8.485499136,5,11,6.829853947,80,72.74798322,8.511060082,35-44,Rural,12.16134865,69,56,28880.37403
2484,48,47218,446,4,5091,227,235,8.941673823,8,20,11.71028692,82,88.94486488,24.72950523,35-44,Urban,13.44281298,98,48,31499.04323
8858,49,8352,745,4,14960,110,96,6.972772761,1,53,7.806839454,92,57.68497419,7.610047063,25-34,Suburban,12.1068811,68,44,24597.15391
1863,58,80052,1470,5,1690,232,213,6.70725954,7,46,10.35420593,74,54.74163069,20.70841136,35-44,Rural,10.52570297,73,36,34397.88843
3790,44,89835,748,3,2495,168,168,6.992600691,7,47,6.059116009,73,93.84507339,3.424790602,18-24,Rural,18.09301726,97,69,32637.97083
8408,27,98493,344,3,12085,163,148,8.863949388,8,34,16.90016843,68,51.55600729,17.97357357,18-24,Suburban,6.241895399,69,45,34767.44638
9755,77,29927,208,1,18276,113,120,6.999219888,3,52,7.905522339,96,98.61636754,8.806506845,18-24,Urban,15.40953665,92,53,27573.46894
6116,35,42094,632,4,11720,149,164,7.69563546,1,30,20.13464626,89,83.606694,27.84953251,45-54,Urban,17.82400444,70,52,28664.42185
7019,91,55122,1213,5,6873,171,182,7.211037848,9,51,9.363499526,88,70.98065107,9.402775775,35-44,Urban,22.30227083,99,40,30113.67538
2757,20,30493,395,1,5503,168,156,7.188660433,1,45,20.95953159,82,57.06876632,12.55478015,35-44,Suburban,8.296928723,65,53,26949.23957
8574,24,93247,211,3,12720,234,224,6.58013583,6,18,8.797639725,93,86.16155755,25.37969422,18-24,Urban,21.51497759,76,34,37954.09333
7374,22,74539,1300,4,14964,226,228,7.611238622,9,21,19.42733127,66,78.15558772,13.70996289,45-54,Rural,23.63227928,95,68,35864.60549
7892,84,32707,442,5,1897,115,105,8.548212765,2,19,11.66149359,68,85.55635037,7.913955302,25-34,Suburban,16.21698457,65,59,25148.99593
2678,23,69814,200,2,18094,177,158,6.148455041,4,55,16.6623999,63,70.89611028,16.87878531,18-24,Urban,19.2858252,69,45,33133.68059
4242,118,8296,728,4,4695,200,182,8.667679781,2,14,5.773236286,61,53.31300415,25.35974467,45-54,Urban,10.142674,64,49,26042.71588
5636,115,26398,127,5,3686,155,145,7.996418895,4,42,14.90488869,86,65.74861003,13.56215075,25-34,Suburban,23.80338549,78,58,25949.20562
2059,83,36842,1036,1,6778,204,218,7.850214242,2,14,7.973757894,92,65.75103766,4.853766187,45-54,Urban,16.77153638,66,46,29460.48059
7668,117,14261,157,2,16150,231,225,7.877700699,1,25,14.72640454,91,50.43395792,12.10952048,25-34,Suburban,7.753920215,83,48,30179.99152
4157,108,77709,396,5,17799,147,137,6.888809508,3,46,7.827182618,96,50.47905075,28.67977886,35-44,Rural,10.10653368,78,55,32829.43848
6915,29,96985,233,5,10663,116,126,7.245433512,8,46,13.7417824,86,66.53791436,3.088626991,35-44,Rural,15.44388785,70,44,32865.25577
3693,40,57704,1454,3,5180,210,217,8.397870018,5,38,7.212416405,87,86.38116924,12.84491,45-54,Suburban,5.853379113,62,54,31795.19541
4627,65,68173,348,4,5262,169,176,6.919143111,4,27,9.399030355,62,81.20218652,19.79283502,45-54,Rural,18.84786011,89,44,30844.2735
6450,110,32781,1120,3,3515,179,190,7.410060629,5,38,16.90157871,95,61.95088234,3.27701406,25-34,Suburban,5.617287907,97,49,27645.98253
2663,46,14652,649,2,12236,192,196,6.058896814,6,15,24.53321274,67,80.13813261,11.00362386,45-54,Urban,14.79472989,65,59,27471.72881
6592,85,6103,1001,5,15104,137,136,8.200675059,6,27,13.98369537,96,82.36887978,28.27677226,45-54,Suburban,17.42516282,94,50,25251.56526
8392,60,26500,1198,3,7616,200,207,7.25310653,5,41,18.74347385,97,76.12849614,1.888435074,25-34,Urban,21.49369739,81,64,28771.12463
2306,32,36529,933,4,18376,161,165,7.576076305,6,51,15.78849342,81,76.06769876,22.80051451,25-34,Urban,18.34751039,70,35,29321.62124
7776,28,19452,1291,2,5370,220,210,6.344067953,9,56,14.96715869,73,68.48739365,25.39987402,35-44,Suburban,19.97062729,67,66,28585.50586
6864,55,50393,870,1,19157,147,145,8.975142686,5,40,6.294083937,74,56.16971819,9.034761037,18-24,Rural,22.82329504,86,40,30429.27606
8526,105,32174,1478,3,4816,109,116,6.907403481,6,20,7.885948046,63,69.27419,7.226716716,45-54,Suburban,14.94428903,88,52,25414.17758
9901,109,65450,1348,2,2756,135,115,7.904968985,4,35,22.66115458,77,67.26671581,27.52980591,25-34,Urban,21.15700027,67,68,29289.45341
6575,77,36436,245,1,3373,103,87,7.743709035,3,37,13.2032863,60,79.59862964,23.15604917,35-44,Suburban,5.796805776,82,38,25304.51212
6530,73,48406,1364,3,3576,143,132,8.355276612,6,36,17.28664953,71,92.81300844,4.288040579,18-24,Urban,20.36832927,88,47,27885.64766
5413,31,64059,992,2,5184,155,168,6.881510867,5,28,15.56466465,76,68.76875824,7.15372041,45-54,Urban,5.542168533,75,65,29963.5443
4748,100,16954,443,2,3397,141,156,8.267782035,4,54,12.57764759,78,85.48676389,19.01929949,35-44,Rural,23.36573047,94,69,24505.63873
1663,97,83722,1158,3,13674,213,194,7.147505192,5,36,12.75633085,95,90.59151887,13.16309094,18-24,Urban,8.249333436,67,65,35774.35286
2998,33,13356,801,2,11326,240,237,7.233482898,7,29,16.10930012,66,60.58757569,15.62105674,45-54,Urban,4.295949954,67,57,29646.53454
8994,53,99499,100,5,11546,120,112,8.018137579,1,12,7.82283603,68,95.08250884,28.59473062,35-44,Suburban,3.704219003,92,48,33509.66458
2495,72,3187,252,3,5535,178,162,8.352857315,1,25,12.74518081,67,53.52224691,13.18682843,45-54,Urban,4.681805423,64,59,24557.89575
4304,39,78243,528,2,15599,168,167,8.000599908,1,48,13.93951139,84,95.08596694,26.56877788,18-24,Suburban,11.18850771,96,67,33533.1905
4763,94,36098,607,1,10168,169,150,8.699638562,2,53,24.70252447,66,58.18164463,20.16159684,25-34,Suburban,13.05373478,76,44,28335.20958
6232,35,93471,1249,1,18118,166,156,6.855477089,9,38,12.02909539,67,66.85848014,4.526964303,35-44,Suburban,22.84464581,81,41,35304.15217
2853,114,22225,590,5,1632,147,156,8.701850196,5,24,17.89157792,83,80.26176101,22.59070406,18-24,Urban,9.525370073,73,31,24868.19789
7585,89,4606,444,3,14280,135,146,6.392590578,9,39,7.748309997,76,95.28416829,16.08606314,45-54,Urban,5.43705772,97,38,24887.09735
2291,75,58620,320,2,15746,248,259,7.978590957,5,49,6.309627637,71,62.78507203,7.527820261,18-24,Urban,18.5955278,91,64,35276.75625
4581,102,33828,822,2,5268,126,143,7.642891954,7,58,22.43084028,90,88.17869567,9.396930369,18-24,Suburban,3.366360198,73,30,26062.99077
8554,77,27489,1148,1,19047,171,178,7.483907821,6,10,19.61469805,71,85.52179041,17.16264032,25-34,Urban,22.3070843,79,60,29244.18085
8280,23,15387,627,5,16321,200,189,6.932736087,2,38,11.34998575,61,57.98543811,18.44937221,35-44,Urban,10.23499088,81,57,28729.77408
2636,23,70463,1305,1,11207,195,196,7.511198236,3,39,15.09156006,71,73.97319723,29.07711572,18-24,Rural,15.34603709,89,66,33090.10373
4696,39,72832,940,1,6591,227,223,6.485320069,5,49,7.714883689,86,74.07525466,25.78688396,25-34,Urban,4.654608565,92,36,34378.41962
1698,29,96980,1165,5,17226,125,126,7.107962833,4,55,19.14320588,66,65.23059073,6.969339323,25-34,Rural,3.638228727,64,45,33844.27062
5737,43,3591,580,3,2054,165,163,6.296042752,6,41,6.406611842,72,88.99606583,23.44577005,25-34,Rural,19.97098437,77,43,23877.43217
1854,118,49516,1029,2,9572,239,235,7.715539799,8,19,20.14066114,95,96.29669262,1.240462436,45-54,Rural,10.7425573,66,62,33167.84721
9164,45,92683,971,3,14579,121,124,6.287303659,8,36,15.93673021,60,85.82862293,4.764445374,25-34,Rural,24.66857032,88,35,33310.47851
6855,56,63061,444,4,11583,116,131,6.481033932,3,60,10.5770106,94,98.64773665,6.791312066,25-34,Suburban,13.10744861,68,50,29810.40985
8392,104,67736,144,4,9007,106,117,6.256400404,4,17,22.25148708,89,52.52342355,18.31878123,25-34,Suburban,21.14132277,100,39,29447.88106
7528,73,82257,120,4,16903,206,221,7.14393192,1,60,24.72143741,90,51.86113425,6.645865183,25-34,Suburban,24.49909197,66,61,35777.36641
6249,40,62753,1193,5,10784,167,174,8.525875363,2,45,10.08698202,76,94.69293387,11.59291532,35-44,Urban,7.028754038,66,35,31299.05001
6172,93,85774,972,1,5261,227,220,8.720689175,9,51,21.12492299,67,94.89001848,8.040613682,35-44,Urban,20.0220428,65,31,35537.02229
2707,57,12087,147,3,3389,136,151,6.215668364,10,44,20.00332633,62,55.35603925,10.78508211,25-34,Urban,0.550154083,99,68,23558.12817
6791,65,31816,650,2,14939,137,122,7.903650423,10,45,19.94380242,69,67.87230245,28.3310919,18-24,Urban,16.99385295,86,56,27614.17634
6535,23,24408,386,4,12219,195,183,8.053156274,2,57,24.14471223,93,91.76972891,29.92391423,45-54,Suburban,18.63002728,63,43,28927.15917
5931,79,1136,1101,3,10399,238,238,7.601309827,6,45,14.73234185,81,56.42703388,20.88594108,18-24,Rural,11.93409281,60,52,28366.66155
4510,76,18413,1133,4,1544,100,91,8.000954584,7,34,18.48336081,63,63.37140363,17.59692827,18-24,Rural,4.052630253,65,68,23066.39938
1202,64,60500,641,4,3239,141,150,6.701072146,6,29,21.47754727,91,84.04980184,21.54498753,25-34,Urban,15.4180137,90,50,28716.46885
5218,39,85514,855,2,11559,162,172,7.468932635,8,54,14.5907289,88,99.09495272,23.37791381,18-24,Urban,22.43821649,60,59,33505.017
9958,36,57358,373,5,3627,180,199,7.172627547,9,26,14.62862406,70,89.856942,22.43136956,35-44,Suburban,23.28297999,64,54,30303.02157
5389,90,67197,1055,1,7618,107,90,6.269123854,8,32,11.37309508,72,88.86588114,3.374883318,35-44,Urban,18.65255976,78,53,29207.02581
3327,23,93789,699,5,13123,126,136,7.876669319,5,34,20.61651426,63,67.13313318,9.998509159,45-54,Rural,6.592831461,64,40,32978.64935
9004,112,93420,480,3,7780,151,157,7.485645578,8,57,18.72391559,61,83.06715358,10.95951007,35-44,Suburban,21.75817315,64,64,33286.94739
3931,33,33854,1452,5,9015,245,249,6.825522081,10,58,14.02279799,93,55.65441445,11.70837975,35-44,Suburban,22.22057667,90,33,31802.22345
8777,22,77240,578,3,4130,190,174,7.421055781,10,40,13.38673315,81,99.61335166,10.98509958,25-34,Urban,9.181055144,66,66,32859.39805
